"","contig_gene","start_gene","end_gene","Contig100994","3427","3429","-31"
"1","Contig103503",7053,7055,"Contig103503",7053,7055,-36
"2","Contig1245",9228,9230,"Contig1245",9228,9230,-55
"3","Contig128973",13427,13429,"Contig128973",13427,13429,-51
"4","Contig1297",49910,49912,"Contig1297",49910,49912,25
"5","Contig143",19460,19462,"Contig143",19460,19462,40
"6","Contig144141",3057,3059,"Contig144141",3057,3059,-37
"7","Contig144141",3187,3189,"Contig144141",3187,3189,-39
"8","Contig152",9376,9378,"Contig152",9376,9378,-39
"9","Contig15653",3558,3560,"Contig15653",3558,3560,-55
"10","Contig16846",5620,5622,"Contig16846",5620,5622,-28
"11","Contig17101",23960,23962,"Contig17101",23960,23962,45
"12","Contig17101",29519,29521,"Contig17101",29519,29521,-43
"13","Contig17564",25282,25284,"Contig17564",25282,25284,-29
"14","Contig17564",26782,26784,"Contig17564",26782,26784,-29
"15","Contig17598",70082,70084,"Contig17598",70082,70084,26
"16","Contig17603",65410,65412,"Contig17603",65410,65412,-51
"17","Contig17603",65515,65517,"Contig17603",65515,65517,31
"18","Contig17603",66710,66712,"Contig17603",66710,66712,-66
"19","Contig17603",66802,66804,"Contig17603",66802,66804,-40
"20","Contig17650",1833,1835,"Contig17650",1833,1835,28
"21","Contig18716",57393,57395,"Contig18716",57393,57395,43
"22","Contig19003",17906,17908,"Contig19003",17906,17908,32
"23","Contig19277",42016,42018,"Contig19277",42016,42018,-44
"24","Contig19486",12979,12981,"Contig19486",12979,12981,37
"25","Contig20569",28901,28903,"Contig20569",28901,28903,-42
"26","Contig22092",7121,7123,"Contig22092",7121,7123,27
"27","Contig22790",18521,18523,"Contig22790",18521,18523,26
"28","Contig22790",18521,18523,"Contig22790",18521,18523,26
"29","Contig23065",230,232,"Contig23065",230,232,-29
"30","Contig23065",2274,2276,"Contig23065",2274,2276,-40
"31","Contig25952",11184,11186,"Contig25952",11184,11186,-60
"32","Contig26006",1501,1503,"Contig26006",1501,1503,41
"33","Contig26041",796,798,"Contig26041",796,798,25
"34","Contig26879",5285,5287,"Contig26879",5285,5287,-25
"35","Contig2703",3608,3610,"Contig2703",3608,3610,-34
"36","Contig27574",27590,27592,"Contig27574",27590,27592,-44
"37","Contig2935",4855,4857,"Contig2935",4855,4857,36
"38","Contig295049",2122,2124,"Contig295049",2122,2124,34
"39","Contig29971",20279,20281,"Contig29971",20279,20281,-41
"40","Contig30989",5423,5425,"Contig30989",5423,5425,31
"41","Contig31893",4209,4211,"Contig31893",4209,4211,49
"42","Contig32627",2183,2185,"Contig32627",2183,2185,35
"43","Contig32656",11901,11903,"Contig32656",11901,11903,25
"44","Contig32850",5906,5908,"Contig32850",5906,5908,-30
"45","Contig32939",16456,16458,"Contig32939",16456,16458,26
"46","Contig33796",16296,16298,"Contig33796",16296,16298,-33
"47","Contig34342",15413,15415,"Contig34342",15413,15415,-47
"48","Contig34596",13693,13695,"Contig34596",13693,13695,-27
"49","Contig35838",21533,21535,"Contig35838",21533,21535,-31
"50","Contig36016",5626,5628,"Contig36016",5626,5628,33
"51","Contig36080",3217,3219,"Contig36080",3217,3219,62
"52","Contig36080",3217,3219,"Contig36080",3217,3219,62
"53","Contig36584",2894,2896,"Contig36584",2894,2896,28
"54","Contig36640",9319,9321,"Contig36640",9319,9321,38
"55","Contig37183",5289,5291,"Contig37183",5289,5291,42
"56","Contig377",5018,5020,"Contig377",5018,5020,-31
"57","Contig4078",6681,6683,"Contig4078",6681,6683,25
"58","Contig4078",7980,7982,"Contig4078",7980,7982,-25
"59","Contig41429",6771,6773,"Contig41429",6771,6773,-29
"60","Contig41684",10330,10332,"Contig41684",10330,10332,-51
"61","Contig42678",4386,4388,"Contig42678",4386,4388,-47
"62","Contig42707",10320,10322,"Contig42707",10320,10322,32
"63","Contig43285",17622,17624,"Contig43285",17622,17624,-31
"64","Contig43285",17622,17624,"Contig43285",17622,17624,-31
"65","Contig45431",10638,10640,"Contig45431",10638,10640,-31
"66","Contig47816",2462,2464,"Contig47816",2462,2464,43
"67","Contig52148",10167,10169,"Contig52148",10167,10169,-36
"68","Contig52148",10668,10670,"Contig52148",10668,10670,-33
"69","Contig52274",1895,1897,"Contig52274",1895,1897,-25
"70","Contig53393",3812,3814,"Contig53393",3812,3814,35
"71","Contig53993",795,797,"Contig53993",795,797,30
"72","Contig54247",3445,3447,"Contig54247",3445,3447,38
"73","Contig56453",3806,3808,"Contig56453",3806,3808,-28
"74","Contig56453",7525,7527,"Contig56453",7525,7527,-28
"75","Contig565",21063,21065,"Contig565",21063,21065,-32
"76","Contig58",14999,15001,"Contig58",14999,15001,27
"77","Contig58",15001,15003,"Contig58",15001,15003,35
"78","Contig60274",9480,9482,"Contig60274",9480,9482,-69
"79","Contig60405",4482,4484,"Contig60405",4482,4484,-54
"80","Contig60846",4121,4123,"Contig60846",4121,4123,42
"81","Contig62898",1249,1251,"Contig62898",1249,1251,-60
"82","Contig65075",3994,3996,"Contig65075",3994,3996,25
"83","Contig6557",12764,12766,"Contig6557",12764,12766,46
"84","Contig6557",12764,12766,"Contig6557",12764,12766,46
"85","Contig67758",6118,6120,"Contig67758",6118,6120,27
"86","Contig6832",2340,2342,"Contig6832",2340,2342,36
"87","Contig695",256,258,"Contig695",256,258,-50
"88","Contig69521",3019,3021,"Contig69521",3019,3021,44
"89","Contig70546",6692,6694,"Contig70546",6692,6694,27
"90","Contig71414",1052,1054,"Contig71414",1052,1054,29
"91","Contig82531",2636,2638,"Contig82531",2636,2638,52
"92","Contig8584",1278,1280,"Contig8584",1278,1280,34
"93","Contig8584",1969,1971,"Contig8584",1969,1971,51
"94","Contig86885",945,947,"Contig86885",945,947,-28
"95","Contig915",12004,12006,"Contig915",12004,12006,-26
"96","Contig98338",5382,5384,"Contig98338",5382,5384,-26
